_id,clicksCount,sessionStart,sessionEnd,distinctCategories,numCat,numItems,bought,boughtNumber,duration,dayOfWeek,month,hour,isWeekend,isDuringWork,isAfterWork,isAtNight,hasNoCat,hasGroupCat,hasSpecificCat,hasPromoCat
18,2.0,"2014-04-01T05:26:12.539Z","2014-04-01T05:26:32.156Z","[ 0 ]",1,1,false,0.0,19,3,3,8,false,false,false,false,true,false,false,false
19,4.0,"2014-04-01T20:52:12.357Z","2014-04-01T20:54:54.651Z","[ 0 ]",1,2,false,0.0,162,3,3,11,false,true,false,false,true,false,false,false
21,6.0,"2014-04-07T09:01:28.552Z","2014-04-07T09:21:10.012Z","[ 0 ]",1,2,true,2.0,1181,2,3,0,false,false,false,false,true,false,false,false
22,16.0,"2014-04-06T01:29:05.969Z","2014-04-06T01:47:51.889Z","[ 0 ]",1,11,false,0.0,1125,1,3,4,true,false,false,true,true,false,false,false
23,4.0,"2014-04-04T07:43:18.598Z","2014-04-04T07:56:48.356Z","[ 0 ]",1,1,false,0.0,809,6,3,10,false,true,false,false,true,false,false,false
24,4.0,"2014-04-05T22:48:27.233Z","2014-04-05T22:49:06.722Z","[ 0 ]",1,2,false,0.0,39,1,3,1,true,false,false,true,true,false,false,false
26,4.0,"2014-04-06T16:42:55.741Z","2014-04-06T16:46:19.569Z","[ 0 ]",1,4,false,0.0,203,1,3,7,true,false,false,false,true,false,false,false
27,10.0,"2014-04-07T07:40:12.650Z","2014-04-07T08:01:51.327Z","[ 0 ]",1,9,false,0.0,1298,2,3,10,false,true,false,false,true,false,false,false
28,3.0,"2014-04-05T15:25:35.032Z","2014-04-05T15:29:59.565Z","[ 0 ]",1,2,false,0.0,264,7,3,6,true,false,false,true,true,false,false,false
29,2.0,"2014-04-02T17:42:07.324Z","2014-04-02T17:47:24.821Z","[ 0 ]",1,2,false,0.0,317,4,3,8,false,false,false,false,true,false,false,false
31,2.0,"2014-04-01T08:36:04.146Z","2014-04-01T08:38:17.758Z","[ 0 ]",1,1,false,0.0,133,3,3,11,false,true,false,false,true,false,false,false
32,2.0,"2014-04-07T15:45:12.308Z","2014-04-07T15:47:58.163Z","[ 0 ]",1,2,false,0.0,165,2,3,6,false,false,false,true,true,false,false,false
33,16.0,"2014-04-06T18:13:10.756Z","2014-04-06T18:17:52.049Z","[ 0 ]",1,4,true,6.0,281,1,3,9,true,false,false,false,true,false,false,false
34,2.0,"2014-04-07T14:29:57.726Z","2014-04-07T14:33:22.860Z","[ 0 ]",1,2,false,0.0,205,2,3,5,false,false,false,true,true,false,false,false
36,2.0,"2014-04-06T20:00:18.669Z","2014-04-06T20:01:30.080Z","[ 0 ]",1,2,false,0.0,71,1,3,11,true,false,false,false,true,false,false,false
37,2.0,"2014-04-04T16:26:07.882Z","2014-04-04T16:26:43.356Z","[ 0 ]",1,2,false,0.0,35,6,3,7,false,false,false,false,true,false,false,false
38,3.0,"2014-04-04T05:16:09.704Z","2014-04-04T05:17:34.463Z","[ 0 ]",1,2,false,0.0,84,6,3,8,false,false,false,false,true,false,false,false
39,2.0,"2014-04-01T21:21:00.460Z","2014-04-01T21:21:44.551Z","[ 0 ]",1,2,false,0.0,44,4,3,0,false,false,false,false,true,false,false,false
41,5.0,"2014-04-06T08:34:38.902Z","2014-04-06T08:36:41.495Z","[ 0 ]",1,1,false,0.0,122,1,3,11,true,false,false,false,true,false,false,false
42,2.0,"2014-04-06T16:49:29.034Z","2014-04-06T16:51:12.544Z","[ 0 ]",1,1,false,0.0,103,1,3,7,true,false,false,false,true,false,false,false
43,2.0,"2014-04-05T07:54:10.194Z","2014-04-05T07:55:58.886Z","[ 0 ]",1,2,false,0.0,108,7,3,10,true,false,false,false,true,false,false,false
44,8.0,"2014-04-07T05:51:30.888Z","2014-04-07T06:04:39.757Z","[ 0 ]",1,8,false,0.0,788,2,3,8,false,false,false,false,true,false,false,false
46,6.0,"2014-04-03T06:06:58.170Z","2014-04-03T07:06:44.157Z","[ 0 ]",1,1,true,2.0,3585,5,3,9,false,false,false,false,true,false,false,false
47,3.0,"2014-04-02T15:07:17.566Z","2014-04-02T15:08:07.492Z","[ 0 ]",1,3,false,0.0,49,4,3,6,false,false,false,true,true,false,false,false
48,4.0,"2014-04-01T12:12:08.080Z","2014-04-01T12:16:50.572Z","[ 0 ]",1,4,false,0.0,282,3,3,3,false,false,false,true,true,false,false,false
49,2.0,"2014-04-03T18:44:31.729Z","2014-04-03T18:48:36.859Z","[ 0 ]",1,2,false,0.0,245,5,3,9,false,false,false,false,true,false,false,false
51,5.0,"2014-04-01T18:05:31.791Z","2014-04-01T18:09:40.735Z","[ 0 ]",1,5,false,0.0,248,3,3,9,false,false,false,false,true,false,false,false
52,2.0,"2014-04-02T19:09:13.273Z","2014-04-02T19:28:47.335Z","[ 0 ]",1,2,false,0.0,1174,4,3,10,false,true,false,false,true,false,false,false
53,4.0,"2014-04-02T14:27:56.257Z","2014-04-02T14:31:37.504Z","[ 0 ]",1,2,false,0.0,221,4,3,5,false,false,false,true,true,false,false,false
54,6.0,"2014-04-01T07:33:07.173Z","2014-04-01T07:43:16.726Z","[ 0 ]",1,3,false,0.0,609,3,3,10,false,true,false,false,true,false,false,false
56,5.0,"2014-04-03T16:31:43.555Z","2014-04-03T16:38:00.495Z","[ 0 ]",1,4,false,0.0,376,5,3,7,false,false,false,false,true,false,false,false
57,2.0,"2014-04-01T20:50:55.024Z","2014-04-01T20:55:54.817Z","[ 0 ]",1,1,false,0.0,299,3,3,11,false,true,false,false,true,false,false,false
58,2.0,"2014-04-02T10:47:23.796Z","2014-04-02T10:48:29.638Z","[ 0 ]",1,2,false,0.0,65,4,3,1,false,false,false,true,true,false,false,false
59,2.0,"2014-04-06T20:22:40.046Z","2014-04-06T20:22:41.522Z","[ 0 ]",1,1,false,0.0,1,1,3,11,true,false,false,false,true,false,false,false
61,5.0,"2014-04-02T07:00:13.748Z","2014-04-02T07:02:05.171Z","[ 0 ]",1,1,false,0.0,111,4,3,10,false,true,false,false,true,false,false,false
62,10.0,"2014-04-06T15:42:34.618Z","2014-04-06T15:48:56.201Z","[ 0 ]",1,10,false,0.0,381,1,3,6,true,false,false,true,true,false,false,false
63,3.0,"2014-04-05T12:21:05.172Z","2014-04-05T12:21:06.670Z","[ 0 ]",1,3,false,0.0,1,7,3,3,true,false,false,true,true,false,false,false
64,3.0,"2014-04-02T19:50:43.683Z","2014-04-02T19:54:03.319Z","[ 0 ]",1,3,false,0.0,199,4,3,10,false,true,false,false,true,false,false,false
66,3.0,"2014-04-06T07:58:24.215Z","2014-04-06T07:59:48.488Z","[ 0 ]",1,1,false,0.0,84,1,3,10,true,false,false,false,true,false,false,false
67,2.0,"2014-04-06T06:39:08.863Z","2014-04-06T06:40:34.218Z","[ 0 ]",1,2,false,0.0,85,1,3,9,true,false,false,false,true,false,false,false
68,2.0,"2014-04-02T08:08:09.491Z","2014-04-02T08:08:21.022Z","[ 0 ]",1,2,false,0.0,11,4,3,11,false,true,false,false,true,false,false,false
69,2.0,"2014-04-07T10:28:39.441Z","2014-04-07T10:29:32.058Z","[ 0 ]",1,2,false,0.0,52,2,3,1,false,false,false,true,true,false,false,false
71,2.0,"2014-04-03T12:15:58.157Z","2014-04-03T12:17:04.891Z","[ 0 ]",1,2,false,0.0,66,5,3,3,false,false,false,true,true,false,false,false
72,4.0,"2014-04-02T15:34:23.334Z","2014-04-02T15:34:39.033Z","[ 0 ]",1,2,false,0.0,15,4,3,6,false,false,false,true,true,false,false,false
73,2.0,"2014-04-03T13:35:46.173Z","2014-04-03T13:36:58.538Z","[ 0 ]",1,1,false,0.0,72,5,3,4,false,false,false,true,true,false,false,false
74,2.0,"2014-04-06T23:51:15.878Z","2014-04-06T23:54:02.098Z","[ 0 ]",1,2,false,0.0,166,2,3,2,false,false,false,true,true,false,false,false
76,3.0,"2014-04-06T13:52:12.348Z","2014-04-06T13:54:31.004Z","[ 0 ]",1,3,false,0.0,138,1,3,4,true,false,false,true,true,false,false,false
77,8.0,"2014-04-02T18:30:34.579Z","2014-04-02T18:39:53.972Z","[ 0 ]",1,4,false,0.0,559,4,3,9,false,false,false,false,true,false,false,false
78,10.0,"2014-04-04T14:28:00.684Z","2014-04-04T14:51:47.704Z","[ 0 ]",1,7,false,0.0,1427,6,3,5,false,false,false,true,true,false,false,false
79,2.0,"2014-04-01T10:45:30.931Z","2014-04-01T10:48:01.155Z","[ 0 ]",1,2,false,0.0,150,3,3,1,false,false,false,true,true,false,false,false
81,5.0,"2014-04-02T17:58:30.382Z","2014-04-02T18:01:18.189Z","[ 0 ]",1,2,false,0.0,167,4,3,8,false,false,false,false,true,false,false,false
82,4.0,"2014-04-05T19:31:59.631Z","2014-04-05T19:37:02.762Z","[ 0 ]",1,4,false,0.0,303,7,3,10,true,false,false,false,true,false,false,false
83,1.0,"2014-04-01T10:59:43.567Z","2014-04-01T10:59:43.567Z","[ 0 ]",1,1,false,0.0,0,3,3,1,false,false,false,true,true,false,false,false
84,1.0,"2014-04-03T11:48:02.138Z","2014-04-03T11:48:02.138Z","[ 0 ]",1,1,false,0.0,0,5,3,2,false,false,false,true,true,false,false,false
86,11.0,"2014-04-01T18:20:23.827Z","2014-04-01T18:36:52.402Z","[ 0 ]",1,9,false,0.0,988,3,3,9,false,false,false,false,true,false,false,false
87,27.0,"2014-04-07T06:19:08.914Z","2014-04-07T06:51:08.839Z","[ 0 ]",1,20,true,7.0,1919,2,3,9,false,false,false,false,true,false,false,false
88,2.0,"2014-04-04T18:51:53.790Z","2014-04-04T18:58:17.937Z","[ 0 ]",1,2,false,0.0,384,6,3,9,false,false,false,false,true,false,false,false
89,2.0,"2014-04-07T14:12:35.665Z","2014-04-07T14:12:51.832Z","[ 0 ]",1,2,false,0.0,16,2,3,5,false,false,false,true,true,false,false,false
91,2.0,"2014-04-04T18:43:51.845Z","2014-04-04T18:45:09.938Z","[ 0 ]",1,2,false,0.0,78,6,3,9,false,false,false,false,true,false,false,false
92,3.0,"2014-04-04T07:11:52.265Z","2014-04-04T07:13:06.319Z","[ 0 ]",1,3,false,0.0,74,6,3,10,false,true,false,false,true,false,false,false
93,4.0,"2014-04-07T13:11:12.238Z","2014-04-07T13:14:09.881Z","[ 0 ]",1,4,false,0.0,177,2,3,4,false,false,false,true,true,false,false,false
94,2.0,"2014-04-02T14:18:47.195Z","2014-04-02T14:21:37.901Z","[ 0 ]",1,2,false,0.0,170,4,3,5,false,false,false,true,true,false,false,false
96,2.0,"2014-04-06T18:48:49.401Z","2014-04-06T18:50:04.782Z","[ 0 ]",1,1,false,0.0,75,1,3,9,true,false,false,false,true,false,false,false
97,2.0,"2014-04-05T11:56:37.936Z","2014-04-05T11:58:50.572Z","[ 0 ]",1,2,false,0.0,132,7,3,2,true,false,false,true,true,false,false,false
98,2.0,"2014-04-02T10:10:04.369Z","2014-04-02T10:10:41.162Z","[ 0 ]",1,1,false,0.0,36,4,3,1,false,false,false,true,true,false,false,false
99,5.0,"2014-04-07T09:11:49.603Z","2014-04-07T09:17:59.263Z","[ 0 ]",1,5,false,0.0,369,2,3,0,false,false,false,false,true,false,false,false
101,2.0,"2014-04-04T14:59:39.805Z","2014-04-04T15:04:36.148Z","[ 0 ]",1,2,false,0.0,296,6,3,5,false,false,false,true,true,false,false,false
102,2.0,"2014-04-07T03:14:44.923Z","2014-04-07T03:17:28.024Z","[ 0 ]",1,2,false,0.0,163,2,3,6,false,false,false,true,true,false,false,false
103,2.0,"2014-04-03T14:23:44.577Z","2014-04-03T14:24:12.525Z","[ 0 ]",1,1,true,1.0,27,5,3,5,false,false,false,true,true,false,false,false
104,4.0,"2014-04-07T18:30:02.454Z","2014-04-07T18:33:23.598Z","[ 0 ]",1,4,false,0.0,201,2,3,9,false,false,false,false,true,false,false,false
106,2.0,"2014-04-06T10:13:53.306Z","2014-04-06T10:18:32.658Z","[ 0 ]",1,2,false,0.0,279,1,3,1,true,false,false,true,true,false,false,false
107,2.0,"2014-04-06T18:50:31.634Z","2014-04-06T18:51:46.740Z","[ 0 ]",1,2,false,0.0,75,1,3,9,true,false,false,false,true,false,false,false
108,3.0,"2014-04-03T11:29:34.491Z","2014-04-03T11:31:36.145Z","[ 0 ]",1,2,false,0.0,121,5,3,2,false,false,false,true,true,false,false,false
109,18.0,"2014-04-05T19:30:23.836Z","2014-04-05T20:29:14.375Z","[ 0 ]",1,10,false,0.0,3530,7,3,10,true,false,false,false,true,false,false,false
111,2.0,"2014-04-06T17:30:49.175Z","2014-04-06T17:31:34.271Z","[ 0 ]",1,2,false,0.0,45,1,3,8,true,false,false,false,true,false,false,false
112,2.0,"2014-04-04T08:59:40.258Z","2014-04-04T09:00:35.512Z","[ 0 ]",1,2,false,0.0,55,6,3,11,false,true,false,false,true,false,false,false
113,3.0,"2014-04-02T12:56:31.560Z","2014-04-02T12:58:56.608Z","[ 0 ]",1,3,false,0.0,145,4,3,3,false,false,false,true,true,false,false,false
114,2.0,"2014-04-06T22:17:48.496Z","2014-04-06T22:18:23.088Z","[ 0 ]",1,2,false,0.0,34,2,3,1,false,false,false,true,true,false,false,false
116,2.0,"2014-04-07T08:50:57.912Z","2014-04-07T08:51:49.282Z","[ 0 ]",1,2,false,0.0,51,2,3,11,false,true,false,false,true,false,false,false
117,4.0,"2014-04-04T19:15:38.077Z","2014-04-04T19:17:23.374Z","[ 0 ]",1,4,false,0.0,105,6,3,10,false,true,false,false,true,false,false,false
118,2.0,"2014-04-04T08:37:40.336Z","2014-04-04T08:38:32.806Z","[ 0 ]",1,2,false,0.0,52,6,3,11,false,true,false,false,true,false,false,false
119,2.0,"2014-04-04T10:07:00.118Z","2014-04-04T10:20:14.309Z","[ 0 ]",1,2,false,0.0,794,6,3,1,false,false,false,true,true,false,false,false
121,20.0,"2014-04-06T07:42:52.214Z","2014-04-06T08:08:19.755Z","[ 0 ]",1,13,false,0.0,1527,1,3,10,true,false,false,false,true,false,false,false
122,2.0,"2014-04-06T20:45:43.933Z","2014-04-06T20:46:16.914Z","[ 0 ]",1,2,false,0.0,32,1,3,11,true,false,false,false,true,false,false,false
123,8.0,"2014-04-01T11:13:16.906Z","2014-04-01T11:16:57.144Z","[ 0 ]",1,5,false,0.0,220,3,3,2,false,false,false,true,true,false,false,false
124,2.0,"2014-04-06T12:32:47.246Z","2014-04-06T12:36:31.023Z","[ 0 ]",1,1,false,0.0,223,1,3,3,true,false,false,true,true,false,false,false
126,3.0,"2014-04-06T16:16:59.957Z","2014-04-06T16:18:16.707Z","[ 0 ]",1,1,false,0.0,76,1,3,7,true,false,false,false,true,false,false,false
127,2.0,"2014-04-05T15:13:45.268Z","2014-04-05T15:15:06.385Z","[ 0 ]",1,1,false,0.0,81,7,3,6,true,false,false,true,true,false,false,false
128,2.0,"2014-04-06T09:33:27.228Z","2014-04-06T09:41:38.816Z","[ 0 ]",1,2,false,0.0,491,1,3,0,true,false,false,false,true,false,false,false
129,6.0,"2014-04-01T08:37:18.399Z","2014-04-01T08:42:49.137Z","[ 0 ]",1,5,false,0.0,330,3,3,11,false,true,false,false,true,false,false,false
131,3.0,"2014-04-03T04:46:08.891Z","2014-04-03T04:47:32.085Z","[ 0 ]",1,3,false,0.0,83,5,3,7,false,false,false,false,true,false,false,false
132,2.0,"2014-04-03T04:17:14.116Z","2014-04-03T04:21:23.765Z","[ 0 ]",1,2,false,0.0,249,5,3,7,false,false,false,false,true,false,false,false
133,2.0,"2014-04-03T08:56:42.998Z","2014-04-03T08:57:36.405Z","[ 0 ]",1,1,false,0.0,53,5,3,11,false,true,false,false,true,false,false,false
134,4.0,"2014-04-04T19:03:40.133Z","2014-04-04T19:07:07.617Z","[ 0 ]",1,3,false,0.0,207,6,3,10,false,true,false,false,true,false,false,false
136,2.0,"2014-04-01T12:25:23.651Z","2014-04-01T12:25:23.918Z","[ 0 ]",1,2,false,0.0,0,3,3,3,false,false,false,true,true,false,false,false
137,4.0,"2014-04-02T22:48:38.813Z","2014-04-02T22:49:04.660Z","[ 0 ]",1,2,false,0.0,25,5,3,1,false,false,false,true,true,false,false,false
138,7.0,"2014-04-04T08:59:39.071Z","2014-04-04T09:36:41.066Z","[ 0 ]",1,4,true,1.0,2221,6,3,11,false,true,false,false,true,false,false,false
139,2.0,"2014-04-06T10:56:09.941Z","2014-04-06T10:57:41.929Z","[ 0 ]",1,2,false,0.0,91,1,3,1,true,false,false,true,true,false,false,false
141,2.0,"2014-04-07T18:12:35.794Z","2014-04-07T18:13:27.129Z","[ 0 ]",1,2,false,0.0,51,2,3,9,false,false,false,false,true,false,false,false
142,2.0,"2014-04-04T20:00:07.884Z","2014-04-04T20:00:58.248Z","[ 0 ]",1,2,false,0.0,50,6,3,11,false,true,false,false,true,false,false,false
143,3.0,"2014-04-04T19:30:03.512Z","2014-04-04T19:30:51.376Z","[ 0 ]",1,1,false,0.0,47,6,3,10,false,true,false,false,true,false,false,false
144,8.0,"2014-04-01T15:53:23.538Z","2014-04-01T16:01:42.146Z","[ 0 ]",1,7,false,0.0,498,3,3,6,false,false,false,true,true,false,false,false
146,4.0,"2014-04-07T10:50:27.969Z","2014-04-07T10:54:49.037Z","[ 0 ]",1,4,false,0.0,261,2,3,1,false,false,false,true,true,false,false,false
147,2.0,"2014-04-03T20:15:19.460Z","2014-04-03T20:15:55.642Z","[ 0 ]",1,2,false,0.0,36,5,3,11,false,true,false,false,true,false,false,false
148,3.0,"2014-04-01T16:06:05.510Z","2014-04-01T16:18:27.448Z","[ 0 ]",1,1,false,0.0,741,3,3,7,false,false,false,false,true,false,false,false
149,2.0,"2014-04-06T12:58:48.803Z","2014-04-06T12:59:50.007Z","[ 0 ]",1,2,false,0.0,61,1,3,3,true,false,false,true,true,false,false,false
151,1.0,"2014-04-06T13:05:15.717Z","2014-04-06T13:05:15.717Z","[ 0 ]",1,1,false,0.0,0,1,3,4,true,false,false,true,true,false,false,false
152,1.0,"2014-04-06T15:28:47.758Z","2014-04-06T15:28:47.758Z","[ 0 ]",1,1,false,0.0,0,1,3,6,true,false,false,true,true,false,false,false
153,4.0,"2014-04-04T10:02:59.851Z","2014-04-04T10:10:55.109Z","[ 0 ]",1,3,false,0.0,475,6,3,1,false,false,false,true,true,false,false,false
154,5.0,"2014-04-03T08:59:07.398Z","2014-04-03T09:05:13.296Z","[ 0 ]",1,4,false,0.0,365,5,3,11,false,true,false,false,true,false,false,false
156,2.0,"2014-04-05T08:43:50.384Z","2014-04-05T08:47:42.110Z","[ 0 ]",1,1,false,0.0,231,7,3,11,true,false,false,false,true,false,false,false
157,2.0,"2014-04-06T07:01:20.547Z","2014-04-06T07:01:57.363Z","[ 0 ]",1,2,false,0.0,36,1,3,10,true,false,false,false,true,false,false,false
158,6.0,"2014-04-02T20:57:37.380Z","2014-04-02T21:03:21.263Z","[ 0 ]",1,5,false,0.0,343,4,3,11,false,true,false,false,true,false,false,false
159,2.0,"2014-04-06T20:02:44.585Z","2014-04-06T20:05:00.668Z","[ 0 ]",1,2,false,0.0,136,1,3,11,true,false,false,false,true,false,false,false
161,2.0,"2014-04-06T06:20:54.184Z","2014-04-06T06:22:13.955Z","[ 0 ]",1,2,false,0.0,79,1,3,9,true,false,false,false,true,false,false,false
162,2.0,"2014-04-06T13:22:53.321Z","2014-04-06T13:25:13.506Z","[ 0 ]",1,2,false,0.0,140,1,3,4,true,false,false,true,true,false,false,false
163,5.0,"2014-04-01T19:02:28.976Z","2014-04-01T19:11:43.705Z","[ 0 ]",1,5,false,0.0,554,3,3,10,false,true,false,false,true,false,false,false
164,3.0,"2014-04-03T04:43:46.448Z","2014-04-03T04:46:27.955Z","[ 0 ]",1,3,false,0.0,161,5,3,7,false,false,false,false,true,false,false,false
166,5.0,"2014-04-04T15:44:56.595Z","2014-04-04T16:12:55.072Z","[ 0 ]",1,5,false,0.0,1678,6,3,6,false,false,false,true,true,false,false,false
167,2.0,"2014-04-05T08:44:08.413Z","2014-04-05T08:44:50.129Z","[ 0 ]",1,2,false,0.0,41,7,3,11,true,false,false,false,true,false,false,false
168,3.0,"2014-04-03T12:58:36.401Z","2014-04-03T13:02:31.738Z","[ 0 ]",1,2,false,0.0,235,5,3,3,false,false,false,true,true,false,false,false
169,2.0,"2014-04-06T14:16:33.419Z","2014-04-06T14:31:20.326Z","[ 0 ]",1,2,false,0.0,886,1,3,5,true,false,false,true,true,false,false,false
171,3.0,"2014-04-03T17:45:25.575Z","2014-04-03T17:48:11.136Z","[ 0 ]",1,3,false,0.0,165,5,3,8,false,false,false,false,true,false,false,false
172,3.0,"2014-04-06T19:38:44.000Z","2014-04-06T19:42:21.925Z","[ 0 ]",1,3,false,0.0,217,1,3,10,true,false,false,false,true,false,false,false
173,2.0,"2014-04-04T19:17:10.017Z","2014-04-04T19:19:01.653Z","[ 0 ]",1,2,false,0.0,111,6,3,10,false,true,false,false,true,false,false,false
174,2.0,"2014-04-03T05:38:23.762Z","2014-04-03T05:43:47.918Z","[ 0 ]",1,2,false,0.0,324,5,3,8,false,false,false,false,true,false,false,false
176,2.0,"2014-04-07T09:38:50.742Z","2014-04-07T09:39:31.366Z","[ 0 ]",1,2,false,0.0,40,2,3,0,false,false,false,false,true,false,false,false
177,2.0,"2014-04-01T09:17:40.747Z","2014-04-01T09:19:05.185Z","[ 0 ]",1,2,false,0.0,84,3,3,0,false,false,false,false,true,false,false,false
178,3.0,"2014-04-01T18:33:22.071Z","2014-04-01T18:38:30.796Z","[ 0 ]",1,2,false,0.0,308,3,3,9,false,false,false,false,true,false,false,false
179,4.0,"2014-04-04T09:12:03.018Z","2014-04-04T09:22:01.956Z","[ 0 ]",1,4,false,0.0,598,6,3,0,false,false,false,false,true,false,false,false
181,2.0,"2014-04-05T10:58:18.657Z","2014-04-05T11:03:53.817Z","[ 0 ]",1,1,true,1.0,335,7,3,1,true,false,false,true,true,false,false,false
182,2.0,"2014-04-04T14:52:04.266Z","2014-04-04T14:53:11.019Z","[ 0 ]",1,1,true,2.0,66,6,3,5,false,false,false,true,true,false,false,false
183,2.0,"2014-04-05T12:35:27.515Z","2014-04-05T12:36:37.843Z","[ 0 ]",1,2,false,0.0,70,7,3,3,true,false,false,true,true,false,false,false
184,3.0,"2014-04-07T15:25:44.861Z","2014-04-07T15:32:40.774Z","[ 0 ]",1,3,false,0.0,415,2,3,6,false,false,false,true,true,false,false,false
186,2.0,"2014-04-05T08:29:40.261Z","2014-04-05T08:30:58.014Z","[ 0 ]",1,2,false,0.0,77,7,3,11,true,false,false,false,true,false,false,false
187,7.0,"2014-04-02T18:05:22.418Z","2014-04-02T18:40:17.359Z","[ 0 ]",1,5,false,0.0,2094,4,3,9,false,false,false,false,true,false,false,false
188,2.0,"2014-04-01T15:41:59.587Z","2014-04-01T15:43:21.972Z","[ 0 ]",1,2,false,0.0,82,3,3,6,false,false,false,true,true,false,false,false
189,3.0,"2014-04-04T07:14:31.423Z","2014-04-04T07:16:52.475Z","[ 0 ]",1,2,true,1.0,141,6,3,10,false,true,false,false,true,false,false,false
191,3.0,"2014-04-07T11:49:48.178Z","2014-04-07T11:50:58.628Z","[ 0 ]",1,3,false,0.0,70,2,3,2,false,false,false,true,true,false,false,false
192,4.0,"2014-04-06T09:49:25.582Z","2014-04-06T10:01:05.101Z","[ 0 ]",1,4,false,0.0,699,1,3,0,true,false,false,false,true,false,false,false
193,2.0,"2014-04-02T16:50:53.302Z","2014-04-02T16:50:56.015Z","[ 0 ]",1,1,false,0.0,2,4,3,7,false,false,false,false,true,false,false,false
194,4.0,"2014-04-04T14:29:16.071Z","2014-04-04T14:36:37.840Z","[ 0 ]",1,1,false,0.0,441,6,3,5,false,false,false,true,true,false,false,false
196,4.0,"2014-04-02T08:20:39.717Z","2014-04-02T08:22:06.763Z","[ 0 ]",1,2,false,0.0,87,4,3,11,false,true,false,false,true,false,false,false
197,5.0,"2014-04-05T17:55:44.263Z","2014-04-05T18:04:56.252Z","[ 0 ]",1,3,true,1.0,551,7,3,8,true,false,false,false,true,false,false,false
198,3.0,"2014-04-07T13:47:25.615Z","2014-04-07T14:21:16.153Z","[ 0 ]",1,1,false,0.0,2030,2,3,4,false,false,false,true,true,false,false,false
199,3.0,"2014-04-03T21:13:33.104Z","2014-04-03T21:17:54.745Z","[ 0 ]",1,3,false,0.0,261,6,3,0,false,false,false,false,true,false,false,false
201,2.0,"2014-04-06T11:52:14.508Z","2014-04-06T11:52:14.616Z","[ 0 ]",1,2,false,0.0,0,1,3,2,true,false,false,true,true,false,false,false
202,2.0,"2014-04-06T20:12:02.937Z","2014-04-06T20:13:28.814Z","[ 0 ]",1,1,false,0.0,85,1,3,11,true,false,false,false,true,false,false,false
203,5.0,"2014-04-02T16:47:04.826Z","2014-04-02T16:58:57.231Z","[ 0 ]",1,5,false,0.0,712,4,3,7,false,false,false,false,true,false,false,false
204,2.0,"2014-04-07T11:22:19.132Z","2014-04-07T11:22:51.495Z","[ 0 ]",1,2,false,0.0,32,2,3,2,false,false,false,true,true,false,false,false
206,2.0,"2014-04-02T18:23:35.171Z","2014-04-02T18:23:35.877Z","[ 0 ]",1,1,false,0.0,0,4,3,9,false,false,false,false,true,false,false,false
